Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
+2 Mace,W,C,69713,6.99,8445,10.05,14336,52.60%,2556,50.00%,4121,50.00%,6677,50.00%,7988,54.60%,-4.7pp
,,,,,,,,,,,,,,,,,
Arborea Pegasus,W,C,57932,5.22,11074,6.95,36178,54.10%,8012,53.10%,13070,55.50%,21082,54.60%,17990,53.60%,1.0pp
,,,,,,,,,,,,,,,,,
Blink Dog,W,U,24395,6.39,3187,9.34,4957,51.10%,972,47.20%,1261,51.80%,2233,49.80%,2843,52.00%,-2.2pp
,,,,,,,,,,,,,,,,,
The Book of Exalted Deeds,W,M,1833,2.81,521,3.03,1212,53.50%,173,,385,57.40%,558,53.00%,658,54.10%,-1.1pp
,,,,,,,,,,,,,,,,,
Celestial Unicorn,W,C,54473,5.19,9829,6.81,27928,54.80%,7391,55.70%,11624,55.40%,19015,55.50%,12646,53.60%,1.9pp
,,,,,,,,,,,,,,,,,
Cleric Class,W,U,15228,4.04,3761,4.75,13780,56.00%,2680,55.00%,4726,58.40%,7406,57.20%,6898,55.10%,2.1pp
,,,,,,,,,,,,,,,,,
Cloister Gargoyle,W,U,17161,4.28,3876,5.27,13481,54.10%,2898,53.30%,4775,58.90%,7673,56.80%,6711,52.10%,4.8pp
,,,,,,,,,,,,,,,,,
Dancing Sword,W,R,2577,1.87,1638,1.87,8389,55.20%,1497,56.30%,2254,56.10%,3751,56.20%,4683,54.50%,1.7pp
,,,,,,,,,,,,,,,,,
Dawnbringer Cleric,W,C,60503,5.54,9511,7.67,31440,54.10%,6862,52.90%,10152,56.30%,17014,54.90%,16165,53.30%,1.6pp
,,,,,,,,,,,,,,,,,
Delver's Torch,W,C,60410,5.64,7951,8.11,23911,53.40%,4528,52.30%,7205,53.80%,11733,53.20%,12784,53.60%,-0.3pp
,,,,,,,,,,,,,,,,,
Devoted Paladin,W,C,67546,6.51,8694,9.33,17895,53.00%,3172,52.80%,5285,53.00%,8457,52.90%,9956,52.90%,0.0pp
,,,,,,,,,,,,,,,,,
Divine Smite,W,U,26846,7.29,2988,10.97,896,50.20%,143,,265,52.50%,408,49.30%,502,51.20%,-1.9pp
,,,,,,,,,,,,,,,,,
Dragon's Disciple,W,U,26653,7.17,3298,10.42,2661,52.30%,538,53.00%,720,48.90%,1258,50.60%,1480,53.80%,-3.1pp
,,,,,,,,,,,,,,,,,
Dwarfhold Champion,W,C,60382,5.53,11641,7.23,34386,54.00%,8971,55.90%,12360,53.60%,21331,54.50%,16496,53.30%,1.3pp
,,,,,,,,,,,,,,,,,
Flumph,W,R,7737,5.28,1127,7.8,954,49.20%,161,,239,42.70%,400,44.80%,567,51.50%,-6.7pp
,,,,,,,,,,,,,,,,,
Gloom Stalker,W,C,72631,7.47,8096,10.89,7925,51.00%,1640,46.90%,2457,51.20%,4097,49.50%,4199,51.80%,-2.4pp
,,,,,,,,,,,,,,,,,
Grand Master of Flowers,W,M,978,1.32,731,1.29,3708,54.00%,657,58.10%,978,58.10%,1635,58.10%,2094,50.60%,7.5pp
,,,,,,,,,,,,,,,,,
Guardian of Faith,W,R,3352,2.6,1119,2.76,5075,53.30%,871,49.90%,1368,55.00%,2239,53.00%,2875,53.50%,-0.5pp
,,,,,,,,,,,,,,,,,
Half-Elf Monk,W,C,67875,6.63,9421,9.33,21059,53.10%,3829,50.80%,6440,53.00%,10269,52.20%,11521,53.60%,-1.4pp
,,,,,,,,,,,,,,,,,
"Icingdeath, Frost Tyrant",W,M,904,1.29,706,1.25,3836,56.10%,667,59.80%,1086,60.50%,1753,60.20%,2146,52.90%,7.4pp
,,,,,,,,,,,,,,,,,
Ingenious Smith,W,U,20973,5.36,2826,7.69,6565,52.90%,1423,56.50%,1894,53.60%,3317,54.90%,3573,51.60%,3.3pp
,,,,,,,,,,,,,,,,,
Keen-Eared Sentry,W,U,25678,6.78,3122,9.94,3906,51.30%,714,51.30%,1049,49.30%,1763,50.10%,2231,52.00%,-2.0pp
,,,,,,,,,,,,,,,,,
Loyal Warhound,W,R,3214,2.39,1367,2.49,6606,54.70%,1227,59.30%,1736,55.80%,2963,57.20%,3737,52.70%,4.5pp
,,,,,,,,,,,,,,,,,
Minimus Containment,W,C,37452,3.51,9488,4.28,36332,53.90%,8099,50.70%,13411,55.30%,21510,53.60%,17546,54.30%,-0.8pp
,,,,,,,,,,,,,,,,,
Monk of the Open Hand,W,U,22279,5.81,3055,8.24,6455,52.60%,1307,53.40%,2051,52.50%,3358,52.90%,3457,53.10%,-0.3pp
,,,,,,,,,,,,,,,,,
Moon-Blessed Cleric,W,U,20904,5.21,3538,7.03,10745,53.70%,2036,51.60%,3105,54.50%,5141,53.40%,5842,53.80%,-0.4pp
,,,,,,,,,,,,,,,,,
"Nadaar, Selfless Paladin",W,R,2043,1.41,1523,1.37,8854,58.90%,1678,69.80%,2561,64.90%,4239,66.80%,4853,52.50%,14.3pp
,,,,,,,,,,,,,,,,,
Oswald Fiddlebender,W,R,7232,4.9,1272,6.79,2532,53.10%,425,56.00%,651,51.00%,1076,53.00%,1475,53.20%,-0.2pp
,,,,,,,,,,,,,,,,,
Paladin Class,W,R,2229,1.62,1513,1.55,7980,56.20%,1478,61.70%,2420,58.60%,3898,59.70%,4135,53.00%,6.8pp
,,,,,,,,,,,,,,,,,
Paladin's Shield,W,C,74477,7.86,8605,11.32,6480,51.70%,1097,48.30%,1803,49.10%,2900,48.80%,3688,53.70%,-4.9pp
,,,,,,,,,,,,,,,,,
Planar Ally,W,C,49649,4.54,8497,6.08,31217,54.10%,6232,53.00%,11212,56.00%,17444,54.90%,15998,53.30%,1.6pp
,,,,,,,,,,,,,,,,,
Plate Armor,W,U,12496,3.3,4827,3.63,21601,54.60%,4009,53.40%,6668,56.30%,10677,55.20%,11581,54.30%,0.9pp
,,,,,,,,,,,,,,,,,
Portable Hole,W,U,17476,4.3,4001,5.33,16551,54.40%,3030,53.30%,4619,55.60%,7649,54.70%,9155,54.10%,0.6pp
,,,,,,,,,,,,,,,,,
Potion of Healing,W,C,72237,7.43,8990,10.53,10252,53.70%,2407,53.90%,3720,54.90%,6127,54.50%,5019,53.40%,1.1pp
,,,,,,,,,,,,,,,,,
Priest of Ancient Lore,W,C,37137,3.43,12727,3.96,45707,55.70%,12250,58.00%,18067,58.80%,30317,58.50%,21355,52.80%,5.7pp
,,,,,,,,,,,,,,,,,
Rally Maneuver,W,U,21311,5.26,3829,6.98,13060,53.60%,2264,51.20%,3550,56.80%,5814,54.60%,7423,52.90%,1.7pp
,,,,,,,,,,,,,,,,,
Ranger's Hawk,W,C,66670,6.39,9741,8.86,26040,54.10%,5649,55.60%,8029,55.20%,13678,55.40%,13759,53.10%,2.3pp
,,,,,,,,,,,,,,,,,
Steadfast Paladin,W,C,46251,4.12,12966,4.98,46222,55.40%,12461,58.70%,17667,56.90%,30128,57.70%,21629,53.00%,4.7pp
,,,,,,,,,,,,,,,,,
Teleportation Circle,W,R,2943,2.16,1713,2.15,8485,54.10%,1486,55.90%,2794,57.90%,4280,57.20%,4281,51.20%,6.0pp
,,,,,,,,,,,,,,,,,
