Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
"Adeline, Resplendent Cathar",W,R,1723,1.5,1062,1.48,5392,60.20%,993,66.60%,1648,65.90%,2641,66.10%,2930,55.40%,10.8pp
,,,,,,,,,,,,,,,,,
Ambitious Farmhand,W,U,9498,2.77,3394,3.18,16014,59.40%,3315,62.40%,5161,63.10%,8476,62.80%,8412,56.50%,6.4pp
,,,,,,,,,,,,,,,,,
Beloved Beggar,W,U,12569,3.65,3131,4.47,12637,55.70%,2535,54.10%,3994,54.50%,6529,54.30%,6638,56.60%,-2.3pp
,,,,,,,,,,,,,,,,,
Bereaved Survivor,W,U,12225,3.62,2161,4.87,8295,54.60%,1526,51.40%,2441,53.90%,3967,52.90%,4581,55.90%,-2.9pp
,,,,,,,,,,,,,,,,,
Blessed Defiance,W,C,62128,7.43,7417,10.85,7232,57.50%,1290,58.10%,2261,58.80%,3551,58.50%,3943,56.30%,2.2pp
,,,,,,,,,,,,,,,,,
Borrowed Time,W,U,8526,2.48,3253,2.82,15338,58.00%,2929,58.00%,4640,60.80%,7569,59.70%,8223,56.50%,3.2pp
,,,,,,,,,,,,,,,,,
Brutal Cathar,WR,R,1613,1.4,1056,1.39,5477,59.70%,991,64.30%,1660,66.00%,2651,65.30%,3012,54.80%,10.5pp
,,,,,,,,,,,,,,,,,
Candlegrove Witch,W,C,50726,5.24,9897,6.97,30967,56.60%,8045,58.40%,11825,56.10%,19870,57.00%,14449,55.90%,1.1pp
,,,,,,,,,,,,,,,,,
Candletrap,W,C,47671,4.88,8145,6.67,24772,56.10%,5551,55.00%,8844,56.60%,14395,56.00%,12392,56.00%,-0.1pp
,,,,,,,,,,,,,,,,,
Cathar Commando,W,C,52333,5.4,8025,7.64,26551,56.60%,6076,57.70%,9159,56.80%,15235,57.20%,13195,56.30%,0.9pp
,,,,,,,,,,,,,,,,,
Cathar's Call,W,U,14683,4.38,1549,6.61,3735,53.70%,669,51.30%,1085,50.40%,1754,50.70%,2070,55.70%,-5.0pp
,,,,,,,,,,,,,,,,,
Celestus Sanctifier,W,C,59250,6.84,7400,9.98,10065,54.20%,2076,50.40%,3310,53.70%,5386,52.50%,5206,55.90%,-3.5pp
,,,,,,,,,,,,,,,,,
Chaplain of Alms,W,U,11612,3.38,2947,4.22,13308,57.10%,2671,59.70%,3880,57.00%,6551,58.10%,7224,56.00%,2.0pp
,,,,,,,,,,,,,,,,,
Clarion Cathars,W,C,54520,5.85,8259,8.14,22081,56.60%,4536,57.70%,7535,58.30%,12071,58.00%,11457,55.30%,2.7pp
,,,,,,,,,,,,,,,,,
Curse of Silence,W,R,6435,5.3,855,7.87,7,,0,,1,,1,,6,,
,,,,,,,,,,,,,,,,,
Duelcraft Trainer,W,U,10166,2.94,3178,3.49,14390,56.90%,2705,58.40%,4433,60.10%,7138,59.40%,7774,54.50%,5.0pp
,,,,,,,,,,,,,,,,,
Enduring Angel,W,M,776,1.34,514,1.32,2517,57.50%,418,59.30%,802,61.50%,1220,60.70%,1353,54.50%,6.2pp
,,,,,,,,,,,,,,,,,
